fecha,año,mes,mes_nombre,trimestre,ingresos_totales,egresos_totales,cash_flow_real,clientes_activos,proyectos_pendientes,dias_cartera,ratio_cobros,estacionalidad,is_low_demand,num_transacciones,categoria_cash_flow
2021-01-01,2021,1,Enero,1,165004.00,131838.17,33165.83,66,27,43.1,0.953,0.488,1,578,Positivo
2021-02-01,2021,2,Febrero,1,210756.77,155704.41,55052.36,65,17,41.3,1.048,0.600,1,405,Positivo
2021-03-01,2021,3,Marzo,1,168702.04,185281.16,-16579.12,49,21,37.7,0.718,0.722,1,573,Negativo
2021-04-01,2021,4,Abril,2,273898.86,249505.59,24393.27,45,17,45.9,0.770,0.900,1,518,Positivo
2021-05-01,2021,5,Mayo,2,286619.82,265374.11,21245.71,53,29,44.9,0.788,1.000,1,541,Positivo
2021-06-01,2021,6,Junio,2,270180.89,295987.12,-25806.23,40,13,46.6,1.148,1.050,1,508,Negativo
2021-07-01,2021,7,Julio,3,216674.93,185544.50,31130.43,45,16,41.3,1.211,0.700,1,517,Positivo
2021-08-01,2021,8,Agosto,3,139017.81,171416.86,-32399.05,56,16,49.9,1.206,0.600,1,546,Negativo
2021-09-01,2021,9,Septiembre,3,234044.93,225076.59,8968.34,63,24,41.2,0.963,0.850,1,445,Positivo
2021-10-01,2021,10,Octubre,4,258479.24,301813.35,-43334.11,73,19,53.0,1.072,1.000,1,468,Negativo
2021-11-01,2021,11,Noviembre,4,365283.54,358330.73,6952.81,59,27,30.0,1.164,1.100,1,504,Positivo
2021-12-01,2021,12,Diciembre,4,240697.52,222422.48,18275.04,40,18,47.9,1.296,0.800,1,475,Positivo
2022-01-01,2022,1,Enero,1,185316.71,173026.93,12289.78,69,21,40.8,1.103,0.650,1,504,Positivo
2022-02-01,2022,2,Febrero,1,278693.65,194540.41,84153.24,56,18,33.3,1.059,0.750,0,513,Positivo
2022-03-01,2022,3,Marzo,1,275994.03,233984.93,42009.10,45,17,42.3,0.840,0.850,1,492,Positivo
2022-04-01,2022,4,Abril,2,309702.73,312625.31,-2922.58,61,21,44.4,0.616,0.900,1,499,Negativo
2022-05-01,2022,5,Mayo,2,327381.25,366975.60,-39594.35,58,21,44.7,0.766,1.000,1,557,Negativo
2022-06-01,2022,6,Junio,2,379096.94,325644.03,53452.91,50,27,33.8,1.117,1.050,0,609,Positivo
2022-07-01,2022,7,Julio,3,193370.15,184801.08,8569.07,60,17,32.6,1.014,0.700,1,447,Positivo
2022-08-01,2022,8,Agosto,3,208499.14,151199.26,57299.88,75,16,42.4,1.163,0.600,1,439,Positivo
2022-09-01,2022,9,Septiembre,3,285191.92,278527.81,6664.11,43,20,47.1,1.156,0.850,1,439,Positivo
2022-10-01,2022,10,Octubre,4,239371.74,276911.53,-37539.79,62,21,47.8,0.864,0.920,1,511,Negativo
2022-11-01,2022,11,Noviembre,4,335325.97,256379.50,78946.47,78,22,35.5,1.131,0.990,0,452,Positivo
2022-12-01,2022,12,Diciembre,4,255379.83,227131.99,28247.84,51,24,48.3,1.164,0.704,1,594,Positivo
2023-01-01,2023,1,Enero,1,209046.33,172337.30,36709.03,51,15,44.4,1.068,0.650,1,513,Positivo
2023-02-01,2023,2,Febrero,1,281497.10,218966.10,62530.99,74,18,65.0,1.125,0.750,0,458,Positivo
2023-03-01,2023,3,Marzo,1,238224.70,262120.35,-23895.65,57,23,48.8,0.985,0.850,1,458,Negativo
2023-04-01,2023,4,Abril,2,232225.99,248292.82,-16066.83,68,21,35.0,1.035,0.900,1,519,Negativo
2023-05-01,2023,5,Mayo,2,289632.00,296877.30,-7245.29,60,14,47.9,1.112,1.000,1,554,Negativo
2023-06-01,2023,6,Junio,2,406013.66,255474.58,150539.08,50,22,49.1,1.103,1.050,0,692,Positivo
2023-07-01,2023,7,Julio,3,253745.14,231855.46,21889.68,69,23,42.5,1.152,0.700,1,462,Positivo
2023-08-01,2023,8,Agosto,3,193223.36,164713.19,28510.17,60,30,30.1,1.137,0.600,1,420,Positivo
2023-09-01,2023,9,Septiembre,3,263723.80,280152.77,-16428.97,60,14,39.3,1.136,0.850,1,464,Negativo
2023-10-01,2023,10,Octubre,4,344741.33,293094.10,51647.23,53,30,50.1,0.595,1.000,0,509,Positivo
2023-11-01,2023,11,Noviembre,4,330829.87,353449.93,-22620.06,52,19,49.0,1.173,1.100,1,440,Negativo
2023-12-01,2023,12,Diciembre,4,253717.20,219909.13,33808.07,53,28,48.2,0.748,0.800,1,545,Positivo
