fecha,año,mes,mes_nombre,trimestre,cash_flow_real,cash_flow_real_formato,arima_prediccion,nn_prediccion,gbm_prediccion,arima_error_abs,nn_error_abs,gbm_error_abs,arima_mape,nn_mape,gbm_mape,mejor_modelo
2023-01-01,2023,1,Enero,1,36709.03,36709.03,41843.51,56680.88,21510.85,5134.48,19971.85,15198.18,13.98,54.40,41.42,GBM
2023-02-01,2023,2,Febrero,1,62530.99,62530.99,106921.99,12419.00,6295.73,44390.99,50111.99,56235.27,70.93,80.09,89.94,GBM
2023-03-01,2023,3,Marzo,1,-23895.65,-23895.65,67128.91,50102.07,21404.47,91024.56,73997.72,45300.12,381.38,309.74,189.75,GBM
2023-04-01,2023,4,Abril,2,-16066.83,-16066.83,21382.57,9623.90,49693.11,37449.40,25690.73,65759.94,233.03,159.88,409.39,GBM
2023-05-01,2023,5,Mayo,2,-7245.29,-7245.29,-15006.91,-28217.95,-10935.09,7761.61,20972.65,3689.79,107.29,289.54,50.94,GBM
2023-06-01,2023,6,Junio,2,150539.08,150539.08,77942.53,21692.63,9673.34,72596.55,128846.45,140865.74,48.23,85.59,93.57,GBM
2023-07-01,2023,7,Julio,3,21889.68,21889.68,33092.59,9638.28,40772.54,11202.91,12251.40,18882.86,51.18,55.97,86.20,GBM
2023-08-01,2023,8,Agosto,3,28510.17,28510.17,81811.65,48872.48,32912.30,53301.48,20362.31,4402.13,187.10,71.45,15.44,GBM
2023-09-01,2023,9,Septiembre,3,-16428.97,-16428.97,31179.95,8731.03,47147.92,47608.92,25160.00,63576.89,289.80,153.25,386.81,GBM
2023-10-01,2023,10,Octubre,4,51647.23,51647.23,-13025.36,-67980.23,-11372.98,64672.59,119627.46,63020.21,125.06,231.63,122.04,GBM
2023-11-01,2023,11,Noviembre,4,-22620.06,-22620.06,103461.39,28380.73,-22896.10,126081.45,51000.79,276.04,557.74,225.47,1.22,GBM
2023-12-01,2023,12,Diciembre,4,33808.07,33808.07,52762.59,-5442.36,8937.55,18954.52,39250.43,24870.52,56.10,116.18,26.45,GBM
